year,month,births
1998,2,298951
1998,3,329710
1998,4,320031
1998,5,330764
1998,6,327382
1998,7,348992
1998,8,345100
1998,9,343756
1998,10,333138
1998,11,313547
1998,12,334248
1999,1,319494
1999,2,297832
1999,3,333222
1999,4,317157
1999,5,328806
1999,6,332516
1999,7,350226
1999,8,351751
1999,9,349823
1999,10,333351
1999,11,315667
1999,12,333620
2000,1,330513
2000,2,317691
2000,3,340932
2000,4,317533
2000,5,341604
2000,6,341605
2000,7,349429
2000,8,360538
2000,9,348104
2000,10,344389
2000,11,334292
2000,12,337193
2001,1,335612
2001,2,303899
2001,3,339088
2001,4,324039
2001,5,344493
2001,6,331537
2001,7,351586
2001,8,362382
2001,9,343086
2001,10,344599
2001,11,324214
2001,12,326996
2002,1,331089
2002,2,304372
2002,3,331894
2002,4,324849
2002,5,339455
2002,6,328053
2002,7,358220
2002,8,359945
2002,9,349396
2002,10,346324
2002,11,319049
2002,12,334730
2003,1,330304
2003,2,307662
2003,3,337418
2003,4,330589
2003,5,347225
2003,6,337944
2003,7,364800
2003,8,360683
2003,9,360198
2003,10,354583
2003,11,320617
2003,12,344069
2004,1,333408
2004,2,316310
2004,3,346854
2004,4,333858
2004,5,338168
2004,6,345398
2004,7,360050
2004,8,356075
2004,9,356703
2004,10,349110
2004,11,336309
2004,12,346664
2005,1,332030
2005,2,310096
2005,3,349881
2005,4,333027
2005,5,346830
2005,6,351446
2005,7,357700
2005,8,370045
2005,9,364114
2005,10,345293
2005,11,336309
2005,12,348848
2006,1,340899
2006,2,319845
2006,3,357360
2006,4,330395
2006,5,356063
2006,6,358897
2006,7,368633
2006,8,388481
2006,9,375389
2006,10,368060
2006,11,352489
2006,12,356714
2007,1,355560
2007,2,327394
2007,3,361410
2007,4,338795
2007,5,362918
2007,6,359225
2007,7,380356
2007,8,391117
2007,9,367624
2007,10,370069
2007,11,354327
2007,12,355213
2008,1,357044
2008,2,339103
2008,3,351182
2008,4,346984
2008,5,355435
2008,6,349225
2008,7,376105
2008,8,374028
2008,9,368660
2008,10,358533
2008,11,324407
2008,12,354450
